Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-11,1142.1926999999998,3899.5207000000005,82368.0,3185.0,63063.0,0.038667929292929296,,,,,,,
2020-03-12,716.686,2530.0582,77817.0,3135.0,59870.0,0.04028682678592081,-4551.0,-0.05525203962703962,-50.0,-0.015698587127158548,-3193.0,-0.050631907774764895,0.9447479603729604
2020-03-13,559.4551,1937.9144000000001,75133.0,3131.0,58486.0,0.041672766959924404,-2684.0,-0.03449117802022694,-4.0,-0.0012759170653907637,-1384.0,-0.023116752964757015,0.9655088219797731
2020-03-14,640.0296,2257.1904000000004,78400.0,3188.0,63089.0,0.04066326530612245,3267.0,0.0434828903411284,57.0,0.018205046311082773,4603.0,0.07870259549293857,1.0434828903411284
2020-03-15,404.1524,1377.9693,73594.0,3134.0,59745.0,0.04258499334184852,-4806.0,-0.06130102040816332,-54.0,-0.01693851944792979,-3344.0,-0.053004485726513284,0.9386989795918367
2020-03-16,579.8874999999998,2061.9895000000006,73960.0,3160.0,60957.0,0.042725797728501894,366.0,0.004973231513438536,26.0,0.008296107211231751,1212.0,0.02028621641978412,1.0049732315134385
2020-03-17,441.3059,1607.1649000000002,73937.0,3166.0,61788.0,0.042820238851995616,-23.0,-0.0003109789075175229,6.0,0.0018987341772152,831.0,0.013632560657512727,0.9996890210924825
2020-03-18,375.78000000000003,1368.9217,71988.0,3169.0,60783.0,0.04402122575984886,-1949.0,-0.02636027969758037,3.0,0.0009475679090333866,-1005.0,-0.016265294231889715,0.9736397203024196
2020-03-19,433.63340000000005,1495.1255,73609.0,3183.0,63069.0,0.04324199486475839,1621.0,0.02251764182919369,14.0,0.004417797412432867,2286.0,0.03760919994077283,1.0225176418291937
2020-03-20,454.46379999999994,1608.5618000000002,74394.0,3190.0,64487.0,0.042879802134580744,785.0,0.01066445679196848,7.0,0.0021991831605403522,1418.0,0.02248331192820552,1.0106644567919685
2020-03-21,363.6431,1362.9537,73602.0,3179.0,64253.0,0.04319176109344855,-792.0,-0.010646019840309662,-11.0,-0.0034482758620689724,-234.0,-0.003628638330206102,0.9893539801596903
2020-03-22,546.2941,1962.0196,76516.0,3210.0,67549.0,0.04195201003711642,2914.0,0.03959131545338446,31.0,0.009751494180559872,3296.0,0.051297215694208864,1.0395913154533845
